metric	sampleType	n	median	mad	q05	q25	q75	q95
meanCoverage	N	46	31.234092	1.4690712750000012	30.02454425	30.511922	38.323401000000004	67.51834224999999
meanCoverage	T	39	84.300142	3.664601724000016	74.735601	83.1908485	89.913752	120.93066990000001
meanCoverage	unknown	261	100.451333	15.522882786600013	46.819887	90.564568	113.442483	155.907485
